id;X;Y;Z;dist1;dist2;dist3
487;3.585759;0;2.398139;13.89;9.71;22.32
488;3.585759;0;2.144669;13.92;9.76;22.32
489;3.585759;0;1.891199;13.96;9.82;22.32
490;3.585759;0;1.637729;14.01;9.88;22.32
491;3.585759;0;1.384259;14.06;9.95;22.32
492;3.585759;0;1.130788;14.11;10.02;22.32
493;3.585759;0;0.877318;14.17;10.1;22.32
494;3.585759;0;0.623848;14.23;10.19;22.32
495;3.585759;0;0.370378;14.29;10.28;22.32
496;3.835127;0;7.974484;14.01;9.99;22.07
497;3.835127;0;7.721014;13.95;9.9;22.07
498;3.835127;0;7.467544;13.89;9.81;22.07
499;3.835127;0;7.214073;13.83;9.73;22.07
500;3.835127;0;6.960603;13.78;9.66;22.07
501;3.835127;0;6.707133;13.73;9.6;22.07
502;3.835127;0;6.453663;13.69;9.54;22.07
503;3.835127;0;6.200193;13.65;9.48;22.07
504;3.835127;0;5.946722;13.62;9.43;22.07
505;3.835127;0;5.693252;13.59;9.39;22.07
506;3.835127;0;5.439782;13.57;9.36;22.07
507;3.835127;0;5.186312;13.55;9.33;22.07
508;3.835127;0;4.932842;13.53;9.31;22.07
509;3.835127;0;4.679371;13.52;9.29;22.07
510;3.835127;0;4.425901;13.52;9.29;22.07
511;3.835127;0;4.172431;13.52;9.28;22.07
512;3.835127;0;3.918961;13.52;9.29;22.07
513;3.835127;0;3.66549;13.53;9.3;22.07
514;3.835127;0;3.41202;13.54;9.32;22.07
515;3.835127;0;3.15855;13.56;9.35;22.07
516;3.835127;0;2.90508;13.58;9.38;22.07
517;3.835127;0;2.65161;13.61;9.42;22.07
518;3.835127;0;2.398139;13.64;9.46;22.07
519;3.835127;0;2.144669;13.68;9.52;22.07
520;3.835127;0;1.891199;13.72;9.57;22.07
521;3.835127;0;1.637729;13.76;9.64;22.07
522;3.835127;0;1.384259;13.81;9.71;22.07
523;3.835127;0;1.130788;13.87;9.78;22.07
524;3.835127;0;0.877318;13.93;9.87;22.07
525;3.835127;0;0.623848;13.99;9.95;22.07
526;3.835127;0;0.370378;14.05;10.05;22.07
527;4.084494;0;7.974484;13.77;9.75;21.82
528;4.084494;0;7.721014;13.71;9.66;21.82
529;4.084494;0;7.467544;13.64;9.58;21.82
530;4.084494;0;7.214073;13.59;9.5;21.82
